id_fecha,dia,mes,año,dia_semana,festivo_nacional
,7,diciembre,2013,sábado,desc
,8,diciembre,2013,domingo,desc
,9,diciembre,2013,lunes,desc
,10,diciembre,2013,martes,desc
,11,diciembre,2013,miércoles,desc
,12,diciembre,2013,jueves,desc
,13,diciembre,2013,viernes,desc
,14,diciembre,2013,sábado,desc
,15,diciembre,2013,domingo,desc
,16,diciembre,2013,lunes,desc
,17,diciembre,2013,martes,desc
,18,diciembre,2013,miércoles,desc
,19,diciembre,2013,jueves,desc
,20,diciembre,2013,viernes,desc
,21,diciembre,2013,sábado,desc
,22,diciembre,2013,domingo,desc
,23,diciembre,2013,lunes,desc
,24,diciembre,2013,martes,desc
,25,diciembre,2013,miércoles,desc
,26,diciembre,2013,jueves,desc
,27,diciembre,2013,viernes,desc
,28,diciembre,2013,sábado,desc
,29,diciembre,2013,domingo,desc
,30,diciembre,2013,lunes,desc
,31,diciembre,2013,martes,s
,1,enero,2014,miércoles,s
,2,enero,2014,jueves,desc
,3,enero,2014,viernes,desc
,4,enero,2014,sábado,desc
,5,enero,2014,domingo,desc
,6,enero,2014,lunes,desc
,7,enero,2014,martes,desc
,8,enero,2014,miércoles,desc
,9,enero,2014,jueves,desc
,10,enero,2014,viernes,desc
,11,enero,2014,sábado,desc
,12,enero,2014,domingo,desc
,13,enero,2014,lunes,desc
,14,enero,2014,martes,desc
,15,enero,2014,miércoles,desc
,16,enero,2014,jueves,desc
,17,enero,2014,viernes,desc
,18,enero,2014,sábado,desc
,19,enero,2014,domingo,desc
,20,enero,2014,lunes,desc
,21,enero,2014,martes,desc
,22,enero,2014,miércoles,desc
,23,enero,2014,jueves,desc
,24,enero,2014,viernes,desc
,25,enero,2014,sábado,desc
,26,enero,2014,domingo,desc
,27,enero,2014,lunes,desc
,28,enero,2014,martes,desc
,29,enero,2014,miércoles,desc
,30,enero,2014,jueves,desc
,31,enero,2014,viernes,desc
,1,febrero,2014,sábado,desc
,2,febrero,2014,domingo,desc
,3,febrero,2014,lunes,desc
,4,febrero,2014,martes,desc
,5,febrero,2014,miércoles,desc
,6,febrero,2014,jueves,desc
,7,febrero,2014,viernes,desc
,8,febrero,2014,sábado,desc
,9,febrero,2014,domingo,desc
,10,febrero,2014,lunes,desc
,11,febrero,2014,martes,desc
,12,febrero,2014,miércoles,desc
,13,febrero,2014,jueves,desc
,14,febrero,2014,viernes,desc
,15,febrero,2014,sábado,desc
,16,febrero,2014,domingo,desc
,17,febrero,2014,lunes,desc
,18,febrero,2014,martes,desc
,19,febrero,2014,miércoles,desc
,20,febrero,2014,jueves,desc
,21,febrero,2014,viernes,desc
,22,febrero,2014,sábado,desc
,23,febrero,2014,domingo,desc
,24,febrero,2014,lunes,desc
,25,febrero,2014,martes,desc
,26,febrero,2014,miércoles,desc
,27,febrero,2014,jueves,desc
,28,febrero,2014,viernes,desc
,1,marzo,2014,sábado,desc
,2,marzo,2014,domingo,desc
,3,marzo,2014,lunes,desc
,4,marzo,2014,martes,desc
,5,marzo,2014,miércoles,desc
,6,marzo,2014,jueves,desc
,7,marzo,2014,viernes,desc
,8,marzo,2014,sábado,desc
,9,marzo,2014,domingo,desc
,10,marzo,2014,lunes,desc
,11,marzo,2014,martes,desc
,12,marzo,2014,miércoles,desc
,13,marzo,2014,jueves,desc
,14,marzo,2014,viernes,desc
,15,marzo,2014,sábado,desc
,16,marzo,2014,domingo,desc
,17,marzo,2014,lunes,desc
,18,marzo,2014,martes,desc
,19,marzo,2014,miércoles,desc
,20,marzo,2014,jueves,desc
,21,marzo,2014,viernes,desc
,22,marzo,2014,sábado,desc
,23,marzo,2014,domingo,desc
,24,marzo,2014,lunes,desc
,25,marzo,2014,martes,desc
,26,marzo,2014,miércoles,desc
,27,marzo,2014,jueves,desc
,28,marzo,2014,viernes,desc
,29,marzo,2014,sábado,desc
,30,marzo,2014,domingo,desc
,31,marzo,2014,lunes,desc
,1,abril,2014,martes,desc
